Times (s)	Voltage (Volts)
5.865000	3.343372
5.870000	3.316759
5.875000	3.290469
5.880000	3.267751
5.885000	3.241137
5.890000	3.216471
5.895000	3.189208
5.900000	3.164866
5.905000	3.139226
5.910000	3.111964
5.915000	3.088920
5.920000	3.060684
5.925000	3.037965
5.930000	3.011351
5.935000	2.988957
5.940000	2.966887
5.945000	2.938651
5.950000	2.917555
5.955000	2.894187
5.960000	2.870169
5.965000	2.848424
5.970000	2.825056
5.975000	2.803311
5.980000	2.780592
5.985000	2.765662
5.990000	2.740022
5.995000	2.719900
6.000000	2.702699
6.005000	2.682252
6.010000	2.664725
6.015000	2.645901
6.020000	2.628375
6.025000	2.613121
6.030000	2.595595
6.035000	2.581315
6.040000	2.566060
6.045000	2.555026
6.050000	2.542043
6.055000	2.529386
6.060000	2.516728
6.065000	2.505693
6.070000	2.494983
6.075000	2.486220
6.080000	2.479404
6.085000	2.472588
6.090000	2.467395
6.095000	2.459606
6.100000	2.451817
6.105000	2.448247
6.110000	2.447273
6.115000	2.444352
6.120000	2.442405
6.125000	2.440782
6.130000	2.441106
6.135000	2.441106
6.140000	2.442080
6.145000	2.444352
6.150000	2.445001
6.155000	2.447598
6.160000	2.450519
6.165000	2.456685
6.170000	2.465773
6.175000	2.472588
6.180000	2.478755
6.185000	2.483623
6.190000	2.493684
6.195000	2.501474
6.200000	2.514456
6.205000	2.523868
6.210000	2.537500
6.215000	2.549508
6.220000	2.560543
6.225000	2.575473
6.230000	2.590402
6.235000	2.605981
6.240000	2.622533
6.245000	2.637463
6.250000	2.656287
6.255000	2.673164
6.260000	2.691339
6.265000	2.712760
6.270000	2.726067
6.275000	2.748136
6.280000	2.768908
6.285000	2.786109
6.290000	2.811425
6.295000	2.831547
6.300000	2.851021
6.305000	2.872766
6.310000	2.896783
6.315000	2.919502
6.320000	2.939624
6.325000	2.963642
6.330000	2.985062
6.335000	3.007457
6.340000	3.034070
6.345000	3.051921
6.350000	3.081131
6.355000	3.107095
6.360000	3.121376
6.365000	3.152533
6.370000	3.178498
6.375000	3.198945
6.380000	3.224909
6.385000	3.253146
6.390000	3.272943
6.395000	3.299882
6.400000	3.321302
6.405000	3.344670
6.410000	3.365766
6.415000	3.389135
6.420000	3.413801
6.425000	3.434897
6.430000	3.455019
6.435000	3.479361
6.440000	3.499159
6.445000	3.524150
6.450000	3.542000
6.455000	3.560825
6.460000	3.579000
6.465000	3.600745
6.470000	3.616648
6.475000	3.634823
6.480000	3.647481
6.485000	3.666630
6.490000	3.682209
6.495000	3.695191
6.500000	3.711094
6.505000	3.720182
6.510000	3.740953
6.515000	3.753611
6.520000	3.764646
6.525000	3.775681
6.530000	3.785417
6.535000	3.799373
6.540000	3.808136
6.545000	3.816575
6.550000	3.823390
6.555000	3.831829
6.560000	3.837996
6.565000	3.843513
6.570000	3.852925
6.575000	3.856495
6.580000	3.861039
6.585000	3.863635
6.590000	3.865907
6.595000	3.868179
6.600000	3.867855
6.605000	3.864934
6.610000	3.867530
6.615000	3.865583
6.620000	3.867206
6.625000	3.859416
6.630000	3.858118
6.635000	3.855197
6.640000	3.846759
6.645000	3.843188
6.650000	3.836048
6.655000	3.826636
6.660000	3.818522
6.665000	3.812031
6.670000	3.802619
6.675000	3.792882
6.680000	3.778277
6.685000	3.772111
6.690000	3.760102
6.695000	3.748418
6.700000	3.732515
6.705000	3.716612
6.710000	3.704603
6.715000	3.691296
6.720000	3.676691
6.725000	3.657867
6.730000	3.642937
6.735000	3.624762
6.740000	3.608859
6.745000	3.589710
6.750000	3.573807
6.755000	3.557255
6.760000	3.534536
6.765000	3.518957
6.770000	3.497212
6.775000	3.476116
6.780000	3.455019
6.785000	3.434897
6.790000	3.414450
6.795000	3.388161
6.800000	3.367065
6.805000	3.343372
6.810000	3.317083
6.815000	3.304750
6.820000	3.277812
6.825000	3.254768
6.830000	3.235295
6.835000	3.209655
6.840000	3.188883
6.845000	3.168761
6.850000	3.143121
6.855000	3.120078
6.860000	3.098332
6.865000	3.076587
6.870000	3.053868
6.875000	3.031474
6.880000	3.008430
6.885000	2.985711
6.890000	2.966887
6.895000	2.945142
6.900000	2.924370
6.905000	2.899379
6.910000	2.882178
6.915000	2.863678
6.920000	2.842907
6.925000	2.825381
6.930000	2.807206
6.935000	2.786434
6.940000	2.770206
6.945000	2.753329
