Times (s),Voltage (Volts)
0.778000,95.809116,0.424157 
0.779000,95.809116,0.485797 
0.780000,95.785910,0.439567 
0.781000,95.878737,0.331696 
0.782000,95.901944,0.439567 
0.783000,95.855530,0.362516 
0.784000,95.948358,0.454977 
0.785000,95.925151,0.408747 
0.786000,95.971565,0.408747 
0.787000,96.017978,0.454977 
0.788000,95.948358,0.485797 
0.789000,95.994771,0.516618 
0.790000,96.041185,0.408747 
0.791000,96.017978,0.377926 
0.792000,96.064392,0.331696 
0.793000,96.110806,0.501208 
0.794000,96.110806,0.532028 
0.795000,96.134013,0.439567 
0.796000,96.180426,0.377926 
0.797000,96.110806,0.470387 
0.798000,96.180426,0.562848 
0.799000,96.250047,0.562848 
0.800000,96.273254,0.470387 
0.801000,96.250047,0.485797 
0.802000,96.319668,0.501208 
0.803000,96.342875,0.532028 
0.804000,96.319668,0.670719 
0.805000,96.342875,0.454977 
0.806000,96.319668,0.393337 
0.807000,96.412495,0.408747 
0.808000,96.412495,0.562848 
0.809000,96.435702,0.501208 
0.810000,96.319668,0.454977 
0.811000,96.342875,0.454977 
0.812000,96.296461,0.501208 
0.813000,96.366081,0.639899 
0.814000,96.389288,0.701540 
0.815000,96.412495,0.470387 
0.816000,96.389288,0.655309 
0.817000,96.412495,0.532028 
0.818000,96.412495,0.485797 
0.819000,96.435702,0.454977 
0.820000,96.412495,0.547438 
0.821000,96.366081,0.547438 
0.822000,96.458909,0.516618 
0.823000,96.482116,0.578258 
0.824000,96.482116,0.593669 
0.825000,96.389288,0.716950 
0.826000,96.435702,0.516618 
0.827000,96.435702,0.609079 
0.828000,96.389288,0.578258 
0.829000,96.366081,0.578258 
0.830000,96.296461,0.485797 
0.831000,96.319668,0.547438 
0.832000,96.319668,0.578258 
0.833000,96.319668,0.655309 
0.834000,96.296461,0.408747 
0.835000,96.342875,0.454977 
0.836000,96.366081,0.485797 
0.837000,96.296461,0.532028 
0.838000,96.319668,0.470387 
0.839000,96.273254,0.362516 
0.840000,96.273254,0.532028 
0.841000,96.203633,0.454977 
0.842000,96.157220,0.516618 
0.843000,96.180426,0.593669 
0.844000,96.110806,0.562848 
0.845000,96.180426,0.501208 
0.846000,96.134013,0.547438 
0.847000,96.110806,0.454977 
0.848000,96.041185,0.547438 
0.849000,96.017978,0.501208 
0.850000,96.064392,0.501208 
0.851000,96.017978,0.501208 
0.852000,95.994771,0.408747 
0.853000,96.017978,0.485797 
0.854000,96.064392,0.501208 
0.855000,95.971565,0.454977 
0.856000,95.994771,0.562848 
0.857000,95.948358,0.439567 
0.858000,95.994771,0.501208 
0.859000,95.994771,0.439567 
0.860000,95.948358,0.516618 
0.861000,95.971565,0.408747 
0.862000,95.925151,0.485797 
0.863000,95.948358,0.547438 
0.864000,95.971565,0.609079 
0.865000,95.948358,0.532028 
0.866000,95.948358,0.501208 
0.867000,95.948358,0.501208 
0.868000,95.948358,0.501208 
