time (s) 	 Voltage (V) 
0.781000 	 8.363450 
0.782000 	 8.368600 
0.783000 	 8.373750 
0.784000 	 8.384049 
0.785000 	 8.390486 
0.786000 	 8.395636 
0.787000 	 8.400786 
0.788000 	 8.405936 
0.789000 	 8.416235 
0.790000 	 8.422672 
0.791000 	 8.427822 
0.792000 	 8.431684 
0.793000 	 8.441984 
0.794000 	 8.448421 
0.795000 	 8.452283 
0.796000 	 8.457433 
0.797000 	 8.466445 
0.798000 	 8.471595 
0.799000 	 8.478032 
0.800000 	 8.483182 
0.801000 	 8.490907 
0.802000 	 8.497344 
0.803000 	 8.502494 
0.804000 	 8.506356 
0.805000 	 8.514081 
0.806000 	 8.520518 
0.807000 	 8.525668 
0.808000 	 8.530817 
0.809000 	 8.537255 
0.810000 	 8.544979 
0.811000 	 8.548842 
0.812000 	 8.555279 
0.813000 	 8.560429 
0.814000 	 8.566866 
0.815000 	 8.573303 
0.816000 	 8.577165 
0.817000 	 8.583603 
0.818000 	 8.586177 
0.819000 	 8.593902 
0.820000 	 8.599052 
0.821000 	 8.604202 
0.822000 	 8.608064 
0.823000 	 8.614501 
0.824000 	 8.619651 
0.825000 	 8.624801 
0.826000 	 8.628663 
0.827000 	 8.636388 
0.828000 	 8.640250 
0.829000 	 8.645400 
0.830000 	 8.649262 
0.831000 	 8.656987 
0.832000 	 8.660849 
0.833000 	 8.667286 
0.834000 	 8.669861 
0.835000 	 8.672436 
0.836000 	 8.681448 
0.837000 	 8.684023 
0.838000 	 8.689173 
0.839000 	 8.693035 
0.840000 	 8.702047 
0.841000 	 8.704622 
0.842000 	 8.707197 
0.843000 	 8.712347 
0.844000 	 8.718784 
0.845000 	 8.722646 
0.846000 	 8.725221 
0.847000 	 8.729084 
0.848000 	 8.736808 
0.849000 	 8.741958 
0.850000 	 8.743245 
0.851000 	 8.747108 
0.852000 	 8.752258 
0.853000 	 8.758695 
0.854000 	 8.761270 
0.855000 	 8.763845 
0.856000 	 8.770282 
0.857000 	 8.774144 
0.858000 	 8.779294 
0.859000 	 8.780581 
0.860000 	 8.785731 
0.861000 	 8.789593 
